            JDTDB,            Calendar_Date,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR
2454493.5, A.D. 2008-Jan-28 00:00:00.0000,2.76E+08,-1.97E+08,-2.76E+07,1.28E+01,1.54E+01,-2.02E+00,1.14E+03,3.40E+08,1.64E+00
2454494.5, A.D. 2008-Jan-29 00:00:00.0000,2.77E+08,-1.96E+08,-2.78E+07,1.27E+01,1.54E+01,-2.01E+00,1.14E+03,3.41E+08,1.64E+00
2454495.5, A.D. 2008-Jan-30 00:00:00.0000,2.78E+08,-1.95E+08,-2.80E+07,1.26E+01,1.55E+01,-2.00E+00,1.14E+03,3.41E+08,1.65E+00
2454496.5, A.D. 2008-Jan-31 00:00:00.0000,2.79E+08,-1.93E+08,-2.81E+07,1.26E+01,1.55E+01,-1.99E+00,1.14E+03,3.41E+08,1.65E+00
2454497.5, A.D. 2008-Feb-01 00:00:00.0000,2.80E+08,-1.92E+08,-2.83E+07,1.25E+01,1.56E+01,-1.99E+00,1.14E+03,3.41E+08,1.65E+00
2454498.5, A.D. 2008-Feb-02 00:00:00.0000,2.82E+08,-1.91E+08,-2.85E+07,1.24E+01,1.56E+01,-1.98E+00,1.14E+03,3.41E+08,1.65E+00
2454499.5, A.D. 2008-Feb-03 00:00:00.0000,2.83E+08,-1.89E+08,-2.86E+07,1.23E+01,1.57E+01,-1.97E+00,1.14E+03,3.41E+08,1.66E+00
2454500.5, A.D. 2008-Feb-04 00:00:00.0000,2.84E+08,-1.88E+08,-2.88E+07,1.22E+01,1.58E+01,-1.96E+00,1.14E+03,3.41E+08,1.66E+00
2454501.5, A.D. 2008-Feb-05 00:00:00.0000,2.85E+08,-1.87E+08,-2.90E+07,1.22E+01,1.58E+01,-1.95E+00,1.14E+03,3.42E+08,1.66E+00
2454502.5, A.D. 2008-Feb-06 00:00:00.0000,2.86E+08,-1.85E+08,-2.91E+07,1.21E+01,1.59E+01,-1.94E+00,1.14E+03,3.42E+08,1.66E+00
2454503.5, A.D. 2008-Feb-07 00:00:00.0000,2.87E+08,-1.84E+08,-2.93E+07,1.20E+01,1.59E+01,-1.94E+00,1.14E+03,3.42E+08,1.67E+00
2454504.5, A.D. 2008-Feb-08 00:00:00.0000,2.88E+08,-1.82E+08,-2.95E+07,1.19E+01,1.60E+01,-1.93E+00,1.14E+03,3.42E+08,1.67E+00
2454505.5, A.D. 2008-Feb-09 00:00:00.0000,2.89E+08,-1.81E+08,-2.96E+07,1.18E+01,1.60E+01,-1.92E+00,1.14E+03,3.42E+08,1.67E+00
2454506.5, A.D. 2008-Feb-10 00:00:00.0000,2.90E+08,-1.80E+08,-2.98E+07,1.17E+01,1.61E+01,-1.91E+00,1.14E+03,3.42E+08,1.67E+00
2454507.5, A.D. 2008-Feb-11 00:00:00.0000,2.91E+08,-1.78E+08,-3.00E+07,1.17E+01,1.61E+01,-1.90E+00,1.14E+03,3.42E+08,1.68E+00
2454508.5, A.D. 2008-Feb-12 00:00:00.0000,2.92E+08,-1.77E+08,-3.01E+07,1.16E+01,1.62E+01,-1.89E+00,1.14E+03,3.43E+08,1.68E+00
2454509.5, A.D. 2008-Feb-13 00:00:00.0000,2.93E+08,-1.75E+08,-3.03E+07,1.15E+01,1.62E+01,-1.88E+00,1.14E+03,3.43E+08,1.68E+00
2454510.5, A.D. 2008-Feb-14 00:00:00.0000,2.94E+08,-1.74E+08,-3.05E+07,1.14E+01,1.63E+01,-1.88E+00,1.14E+03,3.43E+08,1.68E+00
2454511.5, A.D. 2008-Feb-15 00:00:00.0000,2.95E+08,-1.73E+08,-3.06E+07,1.13E+01,1.63E+01,-1.87E+00,1.14E+03,3.43E+08,1.69E+00
