            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR
2454523.5, A.D. 2008-Feb-27 00:00:00.0000,-1.37E+08,5.63E+07,-3.10E+02,-1.18E+01,-2.77E+01,7.84E-04,4.94E+02,1.48E+08,4.17E-01
2454524.5, A.D. 2008-Feb-28 00:00:00.0000,-1.38E+08,5.39E+07,-2.53E+02,-1.13E+01,-2.79E+01,5.49E-04,4.94E+02,1.48E+08,4.23E-01
2454525.5, A.D. 2008-Feb-29 00:00:00.0000,-1.39E+08,5.15E+07,-2.16E+02,-1.08E+01,-2.80E+01,3.13E-04,4.94E+02,1.48E+08,4.28E-01
2454526.5, A.D. 2008-Mar-01 00:00:00.0000,-1.40E+08,4.91E+07,-1.98E+02,-1.04E+01,-2.82E+01,8.56E-05,4.94E+02,1.48E+08,4.32E-01
2454527.5, A.D. 2008-Mar-02 00:00:00.0000,-1.41E+08,4.66E+07,-2.00E+02,-9.86E+00,-2.84E+01,-1.25E-04,4.95E+02,1.48E+08,4.36E-01
2454528.5, A.D. 2008-Mar-03 00:00:00.0000,-1.42E+08,4.42E+07,-2.19E+02,-9.37E+00,-2.86E+01,-3.10E-04,4.95E+02,1.48E+08,4.40E-01
2454529.5, A.D. 2008-Mar-04 00:00:00.0000,-1.42E+08,4.17E+07,-2.53E+02,-8.87E+00,-2.87E+01,-4.59E-04,4.95E+02,1.48E+08,4.43E-01
2454530.5, A.D. 2008-Mar-05 00:00:00.0000,-1.43E+08,3.92E+07,-2.97E+02,-8.37E+00,-2.89E+01,-5.62E-04,4.95E+02,1.48E+08,4.45E-01
2454531.5, A.D. 2008-Mar-06 00:00:00.0000,-1.44E+08,3.67E+07,-3.48E+02,-7.86E+00,-2.90E+01,-6.09E-04,4.95E+02,1.48E+08,4.47E-01
2454532.5, A.D. 2008-Mar-07 00:00:00.0000,-1.44E+08,3.42E+07,-4.01E+02,-7.35E+00,-2.91E+01,-5.94E-04,4.95E+02,1.48E+08,4.49E-01
2454533.5, A.D. 2008-Mar-08 00:00:00.0000,-1.45E+08,3.17E+07,-4.49E+02,-6.84E+00,-2.92E+01,-5.12E-04,4.95E+02,1.49E+08,4.50E-01
2454534.5, A.D. 2008-Mar-09 00:00:00.0000,-1.46E+08,2.91E+07,-4.87E+02,-6.33E+00,-2.93E+01,-3.64E-04,4.95E+02,1.49E+08,4.51E-01
2454535.5, A.D. 2008-Mar-10 00:00:00.0000,-1.46E+08,2.66E+07,-5.10E+02,-5.82E+00,-2.94E+01,-1.59E-04,4.96E+02,1.49E+08,4.52E-01
2454536.5, A.D. 2008-Mar-11 00:00:00.0000,-1.47E+08,2.41E+07,-5.14E+02,-5.30E+00,-2.95E+01,9.10E-05,4.96E+02,1.49E+08,4.53E-01
2454537.5, A.D. 2008-Mar-12 00:00:00.0000,-1.47E+08,2.15E+07,-4.94E+02,-4.79E+00,-2.96E+01,3.69E-04,4.96E+02,1.49E+08,4.55E-01
2454538.5, A.D. 2008-Mar-13 00:00:00.0000,-1.47E+08,1.89E+07,-4.50E+02,-4.27E+00,-2.97E+01,6.56E-04,4.96E+02,1.49E+08,4.57E-01
2454539.5, A.D. 2008-Mar-14 00:00:00.0000,-1.48E+08,1.64E+07,-3.81E+02,-3.76E+00,-2.97E+01,9.32E-04,4.96E+02,1.49E+08,4.59E-01
2454540.5, A.D. 2008-Mar-15 00:00:00.0000,-1.48E+08,1.38E+07,-2.89E+02,-3.24E+00,-2.98E+01,1.18E-03,4.96E+02,1.49E+08,4.62E-01
2454541.5, A.D. 2008-Mar-16 00:00:00.0000,-1.48E+08,1.12E+07,-1.78E+02,-2.72E+00,-2.98E+01,1.39E-03,4.96E+02,1.49E+08,4.65E-01
2454542.5, A.D. 2008-Mar-17 00:00:00.0000,-1.49E+08,8.66E+06,-5.09E+01,-2.21E+00,-2.98E+01,1.54E-03,4.97E+02,1.49E+08,4.69E-01
2454543.5, A.D. 2008-Mar-18 00:00:00.0000,-1.49E+08,6.08E+06,8.71E+01,-1.69E+00,-2.99E+01,1.64E-03,4.97E+02,1.49E+08,4.73E-01
