            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2454253.500000000, A.D. 2007-Jun-02 00:00:00.0000,  1.864666240676008E+08, -8.889629796824972E+07, -6.442465589403924E+06,  1.135085520207512E+01,  2.394020031248151E+01,  2.227726595832351E-01,  6.893879724970031E+02,  2.066733147905129E+08, -6.326281549074664E-02,
2454255.500000000, A.D. 2007-Jun-04 00:00:00.0000,  1.883860524937170E+08, -8.473978752562261E+07, -6.402527344773777E+06,  1.086391265228246E+01,  2.416576338793224E+01,  2.394585335050099E-01,  6.893659388519727E+02,  2.066667092699106E+08, -1.318633032935477E-02,
2454257.500000000, A.D. 2007-Jun-06 00:00:00.0000,  1.902209104249541E+08, -8.054523455154741E+07, -6.359714880242743E+06,  1.037207689356597E+01,  2.438048617761108E+01,  2.560374707233226E-01,  6.893727727764568E+02,  2.066687580289295E+08,  3.689772365970768E-02,
2454259.500000000, A.D. 2007-Jun-08 00:00:00.0000,  1.919703766908493E+08, -7.631452299598067E+07, -6.314047496985946E+06,  9.875630656633394E+00,  2.458424584962756E+01,  2.724999961796541E-01,  6.894084703610882E+02,  2.066794598955708E+08,  8.696057205511530E-02,
2454261.500000000, A.D. 2007-Jun-10 00:00:00.0000,  1.936336793197676E+08, -7.204955723573181E+07, -6.265546132889275E+06,  9.374860560629131E+00,  2.477692869458833E+01,  2.888366460490559E-01,  6.894730111475133E+02,  2.066988087365744E+08,  1.369736100579239E-01,
2454263.500000000, A.D. 2007-Jun-12 00:00:00.0000,  1.952100961484510E+08, -6.775226049035743E+07, -6.214233344052307E+06,  8.870056558873884E+00,  2.495843037859305E+01,  3.050380809257049E-01,  6.895663581502454E+02,  2.067267934639704E+08,  1.869082318645987E-01,
2454265.500000000, A.D. 2007-Jun-14 00:00:00.0000,  1.966989553681755E+08, -6.342457321564840E+07, -6.160133284562349E+06,  8.361511399262472E+00,  2.512865589192148E+01,  3.210951762481660E-01,  6.896884579017535E+02,  2.067633980485962E+08,  2.367357737648925E-01,
2454267.500000000, A.D. 2007-Jun-16 00:00:00.0000,  1.980996360044783E+08, -5.906845148183177E+07, -6.103271683828451E+06,  7.849520510853989E+00,  2.528751949743390E+01,  3.369988861619273E-01,  6.898392405179208E+02,  2.068086015397207E+08,  2.864278433266323E-01,
2454269.500000000, A.D. 2007-Jun-18 00:00:00.0000,  1.994115683333245E+08, -5.468586533285673E+07, -6.043675822859921E+06,  7.334381644967299E+00,  2.543494506417218E+01,  3.527402555757320E-01,  6.900186197874259E+02,  2.068623780918398E+08,  3.359562958563754E-01,
2454271.500000000, A.D. 2007-Jun-20 00:00:00.0000,  2.006342342307188E+08, -5.027879713425404E+07, -5.981374508661605E+06,  6.816394303277245E+00,  2.557086622581561E+01,  3.683105361154375E-01,  6.902264932821964E+02,  2.069246969977901E+08,  3.852930734826289E-01,
2454273.500000000, A.D. 2007-Jun-22 00:00:00.0000,  2.017671674526775E+08, -4.584923991107544E+07, -5.916398045187181E+06,  6.295859307073796E+00,  2.569522608101162E+01,  3.837011974449105E-01,  6.904627424777935E+02,  2.069955227248387E+08,  4.344102892325156E-01,
2454275.500000000, A.D. 2007-Jun-24 00:00:00.0000,  2.028099538517552E+08, -4.139919568181287E+07, -5.848778204417836E+06,  5.773078640744269E+00,  2.580797731650811E+01,  3.989038245324394E-01,  6.907272329063303E+02,  2.070748149605272E+08,  4.832804494283099E-01,
2454277.500000000, A.D. 2007-Jun-26 00:00:00.0000,  2.037622315253437E+08, -3.693067378901076E+07, -5.778548195054013E+06,  5.248355067761808E+00,  2.590908241864583E+01,  4.139101363620199E-01,  6.910198143234819E+02,  2.071625286627402E+08,  5.318764474866999E-01,
